username,count,qid
TiagoLubiana,7,Q101404853
Mr.Ibrahembot,1,Q101404853
TiagoLubiana,7,Q101404858
Mr.Ibrahembot,1,Q101404858
TiagoLubiana,8,Q101404859
Mr.Ibrahembot,1,Q101404859
TiagoLubiana,7,Q101404857
Mr.Ibrahembot,1,Q101404857
TiagoLubiana,7,Q101404862
Mr.Ibrahembot,1,Q101404862
TiagoLubiana,7,Q101404863
Mr.Ibrahembot,1,Q101404863
TiagoLubiana,7,Q101404861
Mr.Ibrahembot,1,Q101404861
MatSuBot,1,Q101404861
TiagoLubiana,6,Q101404866
Mr.Ibrahembot,1,Q101404866
TiagoLubiana,7,Q101404867
Mr.Ibrahembot,1,Q101404867
TiagoLubiana,7,Q101404870
Mr.Ibrahembot,1,Q101404870
TiagoLubiana,11,Q101404868
Mr.Ibrahembot,1,Q101404868
TiagoLubiana,12,Q101404869
Mr.Ibrahembot,1,Q101404869
TiagoLubiana,7,Q101404874
KrBot,1,Q101404874
Mr.Ibrahembot,1,Q101404874
TiagoLubiana,9,Q101404875
Mr.Ibrahembot,1,Q101404875
TiagoLubiana,7,Q101404878
Mr.Ibrahembot,1,Q101404878
TiagoLubiana,13,Q101404876
TadejM,2,Q101404876
Mr.Ibrahembot,1,Q101404876
TiagoLubiana,7,Q101404877
Mr.Ibrahembot,1,Q101404877
TiagoLubiana,8,Q101404882
KrBot,1,Q101404882
Mr.Ibrahembot,1,Q101404882
TiagoLubiana,7,Q101404883
Mr.Ibrahembot,1,Q101404883
TiagoLubiana,7,Q101404881
Mr.Ibrahembot,1,Q101404881
TiagoLubiana,7,Q101404887
Mr.Ibrahembot,1,Q101404887
TiagoLubiana,7,Q101404890
Mr.Ibrahembot,1,Q101404890
TiagoLubiana,7,Q101404889
TiagoLubiana,8,Q101404894
TiagoLubiana,9,Q101404893
TiagoLubiana,7,Q101404896
KrBot,1,Q101404896
TiagoLubiana,7,Q101404897
TiagoLubiana,7,Q101404903
TiagoLubiana,7,Q101404900
TiagoLubiana,7,Q101404901
Mr.Ibrahembot,1,Q101404901
TiagoLubiana,7,Q101404906
Mr.Ibrahembot,1,Q101404906
KrBot,1,Q101404906
TiagoLubiana,7,Q101404904
Mr.Ibrahembot,1,Q101404904
TiagoLubiana,6,Q101404905
Mr.Ibrahembot,1,Q101404905
TiagoLubiana,7,Q101404910
Mr.Ibrahembot,1,Q101404910
TiagoLubiana,7,Q101404911
Mr.Ibrahembot,1,Q101404911
TiagoLubiana,7,Q101404909
Mr.Ibrahembot,1,Q101404909
TiagoLubiana,10,Q101404914
Mr.Ibrahembot,1,Q101404914
TiagoLubiana,7,Q101404915
Mr.Ibrahembot,1,Q101404915
TiagoLubiana,7,Q101404912
Mr.Ibrahembot,1,Q101404912
TiagoLubiana,12,Q101404913
TadejM,2,Q101404913
Mr.Ibrahembot,1,Q101404913
TiagoLubiana,7,Q101404918
Mr.Ibrahembot,1,Q101404918
TiagoLubiana,7,Q101404916
Mr.Ibrahembot,1,Q101404916
TiagoLubiana,7,Q101404917
Mr.Ibrahembot,1,Q101404917
TiagoLubiana,7,Q101404922
Mr.Ibrahembot,1,Q101404922
TiagoLubiana,7,Q101404923
Mr.Ibrahembot,1,Q101404923
KrBot,1,Q101404923
TiagoLubiana,7,Q101404920
Bitbotje,1,Q101404920
KrBot,1,Q101404920
Mr.Ibrahembot,1,Q101404920
TiagoLubiana,9,Q101404921
Mr.Ibrahembot,1,Q101404921
TiagoLubiana,8,Q101404926
Mr.Ibrahembot,1,Q101404926
TiagoLubiana,7,Q101404927
Mr.Ibrahembot,1,Q101404927
TiagoLubiana,7,Q101404924
Mr.Ibrahembot,1,Q101404924
TiagoLubiana,7,Q101404925
Mr.Ibrahembot,1,Q101404925
TiagoLubiana,7,Q101404930
Mr.Ibrahembot,1,Q101404930
TiagoLubiana,7,Q101404931
Mr.Ibrahembot,1,Q101404931
TiagoLubiana,7,Q101404928
Mr.Ibrahembot,1,Q101404928
TiagoLubiana,7,Q101404929
Mr.Ibrahembot,1,Q101404929
TiagoLubiana,7,Q101404934
Mr.Ibrahembot,1,Q101404934
TiagoLubiana,7,Q101404935
Mr.Ibrahembot,1,Q101404935
TiagoLubiana,7,Q101404932
TiagoLubiana,8,Q101404939
TiagoLubiana,7,Q101404936
Bitbotje,1,Q101404936
TiagoLubiana,7,Q101404937
TiagoLubiana,9,Q101404942
TiagoLubiana,7,Q101404940
TiagoLubiana,7,Q101404941
TiagoLubiana,7,Q101404947
TiagoLubiana,7,Q101404945
Mr.Ibrahembot,1,Q101404945
TiagoLubiana,25,Q101404950
Mr.Ibrahembot,1,Q101404950
TiagoLubiana,9,Q101404951
Mr.Ibrahembot,1,Q101404951
TiagoLubiana,7,Q101404948
Mr.Ibrahembot,1,Q101404948
KrBot,1,Q101404948
TiagoLubiana,7,Q101404949
Mr.Ibrahembot,1,Q101404949
TiagoLubiana,7,Q101404954
KrBot,1,Q101404954
Mr.Ibrahembot,1,Q101404954
TiagoLubiana,7,Q101404955
Mr.Ibrahembot,1,Q101404955
TiagoLubiana,7,Q101404953
KrBot,1,Q101404953
Mr.Ibrahembot,1,Q101404953
TiagoLubiana,11,Q101404956
Mr.Ibrahembot,1,Q101404956
TiagoLubiana,7,Q101405030
Mr.Ibrahembot,1,Q101405030
TiagoLubiana,7,Q101405031
Mr.Ibrahembot,1,Q101405031
TiagoLubiana,7,Q101405034
Mr.Ibrahembot,1,Q101405034
KrBot,1,Q101405034
TiagoLubiana,7,Q101405035
Mr.Ibrahembot,1,Q101405035
TiagoLubiana,9,Q101405033
KrBot,1,Q101405033
Mr.Ibrahembot,1,Q101405033
TiagoLubiana,7,Q101405038
Mazzie90,1,Q101405038
Mr.Ibrahembot,1,Q101405038
TiagoLubiana,8,Q101405039
Mr.Ibrahembot,1,Q101405039
TiagoLubiana,7,Q101405036
Mr.Ibrahembot,1,Q101405036
TiagoLubiana,7,Q101405037
Mr.Ibrahembot,1,Q101405037
TiagoLubiana,7,Q101405043
Mr.Ibrahembot,1,Q101405043
TiagoLubiana,7,Q101405040
Mr.Ibrahembot,1,Q101405040
TiagoLubiana,7,Q101405041
Mr.Ibrahembot,1,Q101405041
TiagoLubiana,7,Q101405046
KrBot,1,Q101405046
Mr.Ibrahembot,1,Q101405046
TiagoLubiana,7,Q101405047
Mr.Ibrahembot,1,Q101405047
TiagoLubiana,7,Q101405044
Mr.Ibrahembot,1,Q101405044
TiagoLubiana,7,Q101405045
Mr.Ibrahembot,1,Q101405045
TiagoLubiana,8,Q101405050
Mr.Ibrahembot,1,Q101405050
TiagoLubiana,9,Q101405051
TiagoLubiana,7,Q101405048
TiagoLubiana,7,Q101405049
TiagoLubiana,7,Q101405054
TiagoLubiana,7,Q101405055
Davidpar,1,Q101405055
TiagoLubiana,8,Q101405052
TiagoLubiana,7,Q101405058
TiagoLubiana,7,Q101405056
Mr.Ibrahembot,1,Q101405056
