Cell QID,Article QID
Q111729566,Q111686643
Q111729568,Q111686643
Q71309275,Q71306466
Q71309847,Q71306466
Q71309861,Q71306466
Q71311237,Q71306466
Q71311242,Q71306466
Q71311249,Q71306466
Q71311849,Q71306466
Q71311851,Q71306466
Q71312204,Q71306466
Q71313771,Q71306466
Q71314941,Q71306466
Q71314945,Q71306466
Q71314951,Q71306466
Q71314973,Q71306466
Q71314976,Q71306466
Q71314986,Q71306466
Q71314988,Q71306466
Q71315017,Q71306466
Q71315040,Q71306466
Q71315558,Q71306466
Q101062595,Q96952470
Q85740263,Q55118285
Q101062595,Q55118285
Q111583367,Q111441182
Q111482663,Q111441187
Q111482669,Q111441187
Q113661763,Q104288327
Q112184878,Q96952470
Q112184888,Q96952470
Q112184902,Q96952470
Q113044532,Q89621143
Q111729588,Q26823083
Q112117509,Q36108549
Q112117510,Q36108549
Q112117520,Q36108549
Q112117530,Q36108549
Q112117422,Q40736991
Q113044562,Q55006597
Q112184902,Q55118285
Q116185050,Q55118285
Q116185263,Q55118285
Q116185389,Q55118285
Q116185394,Q55118285
Q116185422,Q55118285
Q116254306,Q55118285
Q116254316,Q55118285
Q116254703,Q55118285
Q116259209,Q55118285
Q116267949,Q55118285
Q116267960,Q55118285
Q116267976,Q55118285
Q116267991,Q55118285
Q116278451,Q55118285
Q116278467,Q55118285
Q116278514,Q55118285
Q116314568,Q55118285
Q116314581,Q55118285
Q116314583,Q55118285
Q116314606,Q55118285
Q116314616,Q55118285
Q116315656,Q55118285
Q116342371,Q55118285
Q116342450,Q55118285
Q116342507,Q55118285
Q116342530,Q55118285
Q116342567,Q55118285
Q116342575,Q55118285
Q116342943,Q55118285
Q116343023,Q55118285
Q116343091,Q55118285
Q113044622,Q38251585
Q113044626,Q38251585
Q113044653,Q38251585
Q113044707,Q38251585
Q113046504,Q38251585
Q111803487,Q111722922
Q113044733,Q91321664
Q113044741,Q91321664
Q112117462,Q111985889
Q113407764,Q101045737
Q113407765,Q101045737
Q113044610,Q89748825
Q112117499,Q64888669
Q112117503,Q64888669
Q113044573,Q91662280
Q113044574,Q91662280
Q113044578,Q91662280
Q111804509,Q98725920
Q111804517,Q98725920
Q111804527,Q90781384
Q113044554,Q91989344
Q111804289,Q52687688
Q107446531,Q58793343
Q107446533,Q58793343
Q107446790,Q90612750
Q107446868,Q70906629
Q107550670,Q104130336
Q107446899,Q92354852
Q106303285,Q26862512
Q106303288,Q26862512
Q109662162,Q91523279
Q106399345,Q101212121
Q106634207,Q98166912
Q106634212,Q98166912
Q109282907,Q96690191
Q108651086,Q50420532
Q107297675,Q34555562
Q107297693,Q34555562
Q107297697,Q34555562
Q107297701,Q34555562
Q107297710,Q34555562
